|2000|,|C00000042|,|Illinois Tool Works|,,|Illinois Tool Works|,|C00000042|,|PB|,||,,|M2300|,|Hoovers|,|N|,|0|,1
|2000|,|C00000059|,|Hallmark Cards|,,|Hallmark Cards|,|C00000059|,|PB|,||,,|C1400|,|Hoovers|,|N|,|0|,1
|2000|,|C00000125|,|Archer for Congress Cmte|,,|Archer for Congress Cmte|,|N00005822|,|RI|,|H6TX07029|,|R|,|Z1100|,|Report|,|N|,|0|,1
|2000|,|C00000372|,|Maintenance of Way Employees|,,|Maintenance of Way Employees|,|C00000372|,|PL|,||,,|LT400|,|AFP88|,|N|,|0|,1
|2000|,|C00000422|,|American Medical Assn|,|American Medical Assn|,|American Medical Assn|,|C00000422|,|PB|,||,,|H1100|,|AFP88|,|N|,|0|,1
|2000|,|C00000489|,|Teamsters Local 886|,|Teamsters Union|,|Teamsters Union|,|C00000489|,|PL|,||,,|LT300|,|Name|,|N|,|0|,1
|2000|,|C00000547|,|Kansas Medical Assn|,|American Medical Assn|,|American Medical Assn|,|C00000547|,|PB|,||,,|H1100|,|AFP88|,|N|,|0|,1
|2000|,|C00000638|,|Indiana Medical Assn|,|American Medical Assn|,|American Medical Assn|,|C00000638|,|PB|,||,,|H1100|,|AFP88|,|N|,|0|,1
|2000|,|C00000729|,|American Dental Assn|,|American Dental Assn|,|American Dental Assn|,|C00000729|,|PB|,||,,|H1400|,|AFP88|,|N|,|0|,1
|2000|,|C00000794|,|Lent, Scrivner & Roth|,,|Lent, Scrivner & Roth|,|C00000794|,|PB|,||,,|K2000|,|WebSW|,|N|,|0|,1
|2000|,|C00000885|,|Painters & Allied Trades Union|,|Painters & Allied Trades Union|,|Painters & Allied Trades Union|,|C00000885|,|PL|,||,,|LB100|,|AFP99|,|N|,|0|,1
|2000|,|C00000901|,|National Assn of Home Builders|,|National Assn of Home Builders|,|National Assn of Home Builders|,|C00000901|,|PB|,||,,|B2000|,|AFP88|,|Y|,|0|,1
