|2000|,|1047706|,|C00147066|,|N00005892|,0,04/12/2000,|F3300|,|24K|,|D|,|H4TX22023|
|2000|,|1470335|,|C00139964|,|N00007879|,0,08/01/2000,|A1500|,|24K|,|D|,|S0WA00019|
|2000|,|1469635|,|C00139964|,|N00006246|,0,08/01/2000,|A1500|,|24K|,|D|,|S4WY00055|
|2000|,|0364522|,|C00089086|,|N00002898|,1,07/20/1999,|H1700|,|24Z|,|D|,|H4FL16021|
|2000|,|1786857|,|C00089086|,|N00005638|,1,09/12/2000,|H1700|,|24Z|,|D|,|H4TX26016|
|2000|,|1707731|,|C00043992|,|N00007653|,1,09/30/2000,|J9000|,|24Z|,|D|,|S0HI00084|
|2000|,|1707743|,|C00043992|,|N00012457|,1,09/30/2000,|J9000|,|24Z|,|D|,|H6IL02124|
|2000|,|1707745|,|C00043992|,|N00012533|,1,09/30/2000,|J9000|,|24Z|,|D|,|H0ID01154|
|2000|,|1707748|,|C00043992|,|N00000179|,1,09/30/2000,|J9000|,|24Z|,|D|,|H4MA03022|
|2000|,|1707764|,|C00043992|,|N00001849|,1,09/30/2000,|J9000|,|24Z|,|D|,|H2MD05361|
|2000|,|1707773|,|C00043992|,|N00007397|,1,09/30/2000,|J9000|,|24K|,|D|,|H6CA09023|
|2000|,|1707775|,|C00043992|,|N00008047|,1,09/30/2000,|J9000|,|24K|,|D|,|H8CA28128|
|2000|,|1707799|,|C00043992|,|N00009620|,1,09/30/2000,|J9000|,|24Z|,|D|,|H0FL16011|
|2000|,|1707807|,|C00043992|,|N00000585|,1,09/30/2000,|J9000|,|24Z|,|D|,|H0CT02017|
|2000|,|1707809|,|C00043992|,|N00008051|,1,09/30/2000,|J9000|,|24Z|,|D|,|H8CO02087|
|2000|,|1707817|,|C00043992|,|N00009824|,1,09/30/2000,|J9000|,|24Z|,|D|,|H8OR01072|
|2000|,|1707819|,|C00043992|,|N00012821|,1,09/30/2000,|J9000|,|24Z|,|D|,|H0PA17040|
|2000|,|1707832|,|C00043992|,|N00003535|,1,09/30/2000,|J9000|,|24Z|,|D|,|H2OH13033|
|2000|,|1707844|,|C00043992|,|N00009829|,1,09/30/2000,|J9000|,|24Z|,|D|,|H8WA07132|
|2000|,|1707858|,|C00043992|,|N00001311|,1,09/30/2000,|J9000|,|24Z|,|D|,|H6NY03031|
|2000|,|1707869|,|C00043992|,|N00006518|,1,09/30/2000,|J9000|,|24Z|,|D|,|S2NM00021|
